scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
load_high,11,7,75.0,85.0,1897,1897,118,0.0,189.7,11.8,0.0023019650342646285,0.00445561,0.0061224643999999995,0.0,0.0
load_high,11,8,85.0,95.0,1916,1916,120,0.0,191.6,12.0,0.0023011822807933197,0.0044594925,0.0058048564999999995,0.0,0.0
load_high,11,9,95.0,105.0,1818,1818,118,0.0,181.8,11.8,0.0022621193289328934,0.0043080135,0.006331998599999998,0.0,0.0
load_high,11,10,105.0,115.0,1912,1912,120,0.0,191.2,12.0,0.002315913054393305,0.0044127574999999995,0.006218817399999996,0.0005230125523012552,0.0005230125523012552
load_high,11,11,115.0,125.0,965,965,58,0.0,96.5,5.8,0.002330002,0.0044027699999999986,0.006082339200000002,0.0,0.0
load_high,13,0,5.0,15.0,1843,1843,118,0.0,184.3,11.8,0.002249180374389582,0.004247174999999998,0.005474061599999993,0.0,0.0
load_high,13,1,15.0,25.0,1864,1864,121,0.0,186.4,12.1,0.0022240433690987123,0.004123140499999999,0.005303498199999998,0.0,0.0
load_high,13,2,25.0,35.0,1745,1745,118,0.0,174.5,11.8,0.0022360725329512894,0.004205704,0.005827896799999998,0.0,0.0
load_high,13,3,35.0,45.0,1893,1893,118,0.0,189.3,11.8,0.002224729202324353,0.004197523999999996,0.005942614399999998,0.0,0.0
load_high,13,4,45.0,55.0,1823,1823,120,0.0,182.3,12.0,0.0022242198080087766,0.004108766999999999,0.0053267016,0.0,0.0
load_high,13,5,55.0,65.0,1881,1881,118,0.0,188.1,11.8,0.0022848637373737374,0.00435414,0.006036074000000001,0.0,0.0
load_high,13,6,65.0,75.0,1911,1911,121,0.0,191.1,12.1,0.0022388599372056514,0.00415243,0.005480002000000003,0.0,0.0
load_high,13,7,75.0,85.0,1879,1879,118,0.0,187.9,11.8,0.002366784944119212,0.004621909999999999,0.0068870944000000035,0.0015965939329430547,0.0015965939329430547
load_high,13,8,85.0,95.0,1860,1860,120,0.0,186.0,12.0,0.0022772339569892474,0.0043262859999999995,0.006296582300000004,0.001075268817204301,0.001075268817204301
load_high,13,9,95.0,105.0,1906,1906,118,0.0,190.6,11.8,0.0023077241028331584,0.0043857324999999996,0.006475660500000002,0.0,0.0
