seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
13,load_high,c_b_1.5x,$c_b$ 1.5x,0.1524540268384994,0.5483462668668356,0.64,0.8336,0.28
13,vacation_high,c_b_1.5x,$c_b$ 1.5x,0.04329674988153582,0.1650684472907965,0.96,0.8492444444444445,0.48
13,drift_strong,c_b_1.5x,$c_b$ 1.5x,0.6006863623253947,1.3097737696496083,0.7,0.7930666666666667,0.4
13,overall,c_b_2x,$c_b$ 2x,0.015568513895411246,0.059707905478617034,0.992,0.8924444444444445,0.4
13,load_high,c_b_2x,$c_b$ 2x,0.15236461004393784,0.5480907363324097,0.64,0.8330666666666666,0.28
13,vacation_high,c_b_2x,$c_b$ 2x,0.043218075873107685,0.16492037287975828,0.96,0.8496,0.48
13,drift_strong,c_b_2x,$c_b$ 2x,0.6005789403379912,1.3065712488711763,0.7,0.7946666666666666,0.44
13,overall,delta_u_0.04,$\delta_u=0.04$,0.015587359636816196,0.05981739596225895,0.992,0.8924444444444445,0.4
13,load_high,delta_u_0.04,$\delta_u=0.04$,0.152543443633061,0.5486009752850022,0.64,0.8336,0.28
13,vacation_high,delta_u_0.04,$\delta_u=0.04$,0.043375423889963946,0.1652160728861978,0.96,0.8494222222222222,0.48
13,drift_strong,delta_u_0.04,$\delta_u=0.04$,0.6007948240226083,1.3099610228799643,0.696,0.7934222222222223,0.4
13,overall,delta_u_0.12,$\delta_u=0.12$,0.015587359636816196,0.05981739596225895,0.992,0.8924444444444445,0.4
13,load_high,delta_u_0.12,$\delta_u=0.12$,0.152543443633061,0.5486009752850022,0.64,0.8336,0.28
13,vacation_high,delta_u_0.12,$\delta_u=0.12$,0.043375423889963946,0.1652160728861978,0.96,0.8494222222222222,0.48
13,drift_strong,delta_u_0.12,$\delta_u=0.12$,0.6007948240226083,1.3099610228799643,0.696,0.7934222222222223,0.4
13,overall,delta_u_0.16,$\delta_u=0.16$,0.015587359636816196,0.05981739596225895,0.992,0.8924444444444445,0.4
13,load_high,delta_u_0.16,$\delta_u=0.16$,0.152543443633061,0.5486009752850022,0.64,0.8336,0.28
13,vacation_high,delta_u_0.16,$\delta_u=0.16$,0.043375423889963946,0.1652160728861978,0.96,0.8494222222222222,0.48
13,drift_strong,delta_u_0.16,$\delta_u=0.16$,0.6007948240226083,1.3099610228799643,0.696,0.7934222222222223,0.4
17,overall,baseline,Baseline,0.015476671894431462,0.05250086802658887,0.96,0.8641777777777778,0.4
17,load_high,baseline,Baseline,0.13904989243958757,0.5039786184261276,0.636,0.7555555555555555,0.2
17,vacation_high,baseline,Baseline,0.04812048594279859,0.17587250090193937,0.908,0.8608,0.44
17,drift_strong,baseline,Baseline,0.703684517150494,1.4135308243246316,0.668,0.8126222222222222,0.48
