seed,policy,n,target_violation_reduction,p95_delay_reduction,trigger_rate,background_cost,false_alarm_cost,base_violation,controlled_violation,base_p95,controlled_p95
71,static_utilization_trigger,2070,0.1320549704517684,0.08740025338579815,0.2318840579710145,0.02782608695652174,0.1758454106280193,0.07097802353616744,0.06160502273537393,0.45137646160432277,0.41192604448771997
71,random_trigger,2070,0.07108843089665699,0.04517563910062271,0.22657004830917873,0.027188405797101446,0.19951690821256038,0.07097802353616744,0.06593230721483531,0.45137646160432277,0.4309852414763698
73,proposed_safe_trigger,2070,0.1698360148793829,0.1013237334050324,0.22270531400966184,0.02672463768115942,0.1468599033816425,0.0716366539611862,0.05947017013312497,0.4432917604473216,0.3983757842911097
73,direct_risk_trigger,2070,0.15292086254033957,0.0861236123517538,0.22705314009661837,0.027246376811594204,0.1536231884057971,0.0716366539611862,0.06068191504793777,0.4432917604473216,0.40511387271182997
73,ewma_persistence_trigger,2070,0.07315920312862349,0.044727571983325526,0.2289855072463768,0.027478260869565216,0.19903381642512077,0.0716366539611862,0.06639577344258486,0.4432917604473216,0.42346439632229893
73,static_utilization_trigger,2070,0.14034870273372424,0.09350810127011405,0.2289855072463768,0.027478260869565216,0.17053140096618358,0.0716366539611862,0.061582542509549004,0.4432917604473216,0.4018403896192063
73,random_trigger,2070,0.06322299576605661,0.034181364141980995,0.2318840579710145,0.02782608695652174,0.20772946859903382,0.0716366539611862,0.06710757009110366,0.4432917604473216,0.4281394433623319
79,proposed_safe_trigger,2070,0.15077043382560326,0.09559010455078333,0.2222222222222222,0.026666666666666665,0.15555555555555556,0.07980719282066624,0.06777462773669082,0.47217827316170735,0.4270427026635714
79,direct_risk_trigger,2070,0.1350981499076291,0.07758018128270099,0.22560386473429953,0.02707246376811594,0.16183574879227053,0.07980719282066624,0.06902538872127281,0.47217827316170735,0.4355465971320694
79,ewma_persistence_trigger,2070,0.06445225540476913,0.0390150214706292,0.23333333333333334,0.028,0.2072463768115942,0.07980719282066624,0.074663439245851,0.47217827316170735,0.4537562276963387
79,static_utilization_trigger,2070,0.1385736588880714,0.09561835301588226,0.22415458937198068,0.02689855072463768,0.16956521739130434,0.07980719282066624,0.0687480181059207,0.47217827316170735,0.42702936435210154
79,random_trigger,2070,0.06078626489684,0.04353405440786331,0.2246376811594203,0.026956521739130435,0.2038647342995169,0.07980719282066624,0.07495601165719604,0.47217827316170735,0.45162243852767464
83,proposed_safe_trigger,2070,0.16658457511353073,0.09916869369029961,0.22705314009661837,0.027246376811594204,0.1565217391304348,0.0749002004968235,0.062422982421141894,0.43946964048752585,0.3958880103238323
83,direct_risk_trigger,2070,0.13582435080838384,0.07308492014603653,0.23043478260869565,0.027652173913043476,0.16666666666666666,0.0749002004968235,0.06472692938892466,0.43946964048752585,0.40735103690588764
83,ewma_persistence_trigger,2070,0.06448611929852102,0.03587415255778619,0.22560386473429953,0.02707246376811594,0.2033816425120773,0.0749002004968235,0.0700701772321022,0.43946964048752585,0.4237040395601609
83,static_utilization_trigger,2070,0.1390892649064254,0.08838737612871504,0.2222222222222222,0.026666666666666665,0.17198067632850242,0.0749002004968235,0.06448238666837644,0.43946964048752585,0.4006260720766037
83,random_trigger,2070,0.060940012119223626,0.03901141151545657,0.22560386473429953,0.02707246376811594,0.20531400966183574,0.0749002004968235,0.0703357813708148,0.43946964048752585,0.4223253094939172
