seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
59,overall,learned_descriptor,0.01752826523816683,0.06513016149886798,0.956,0.8254222222222222,0.4
59,overall,observable_descriptor,0.020624230848232495,0.06588040419803512,0.968,0.8597333333333333,0.44
59,load_high,learned_descriptor,0.11811438118990776,0.42373740851274777,0.716,0.7911111111111111,0.2
59,load_high,observable_descriptor,0.19777933158003258,0.6048453969236687,0.92,0.8369777777777778,0.44
59,vacation_high,learned_descriptor,0.05096171012958286,0.20168004502076586,0.94,0.8702222222222222,0.28
59,vacation_high,observable_descriptor,0.05855865785288673,0.20647169036474594,0.972,0.9056,0.44
59,drift_strong,learned_descriptor,0.7302271521588639,1.4824133997219764,0.688,0.8464,0.52
59,drift_strong,observable_descriptor,0.6276082909346775,1.2242174251705191,0.856,0.9068444444444445,0.48
61,overall,learned_descriptor,0.01636130461062053,0.0612946026744283,0.972,0.824,0.4
61,overall,observable_descriptor,0.02035258551392496,0.06597535599642572,0.98,0.8568888888888889,0.4
61,load_high,learned_descriptor,0.13604076191771264,0.4889175277025694,0.712,0.8156444444444444,0.24
61,load_high,observable_descriptor,0.21695451119338305,0.6691143261759465,0.912,0.8908444444444444,0.52
61,vacation_high,learned_descriptor,0.047772982166128096,0.17432304575214583,0.952,0.8919111111111111,0.52
61,vacation_high,observable_descriptor,0.048275866096703826,0.15432162688850012,0.992,0.9262222222222222,0.64
61,drift_strong,learned_descriptor,0.761887381826716,1.5662350220264765,0.704,0.9068444444444445,0.6
61,drift_strong,observable_descriptor,0.8305237395093816,1.6208292110787863,0.88,0.9310222222222222,0.64
67,overall,learned_descriptor,0.018234461972974934,0.07269181857532554,0.972,0.8782222222222222,0.4
67,overall,observable_descriptor,0.01818901272190912,0.06354778295750597,0.984,0.9064888888888889,0.48
67,load_high,learned_descriptor,0.11643026123584305,0.4282923365969608,0.812,0.8039111111111111,0.16
67,load_high,observable_descriptor,0.22771475047988857,0.7030643414110452,0.932,0.8771555555555556,0.48
67,vacation_high,learned_descriptor,0.049104299108625925,0.1920237523196653,0.96,0.8663111111111111,0.4
67,vacation_high,observable_descriptor,0.08436821541219869,0.25369722357800056,0.976,0.896,0.56
